"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Michael Affronti","Athletics (A-)","22","72","273","313","58","43","10","1","4","43","31","21","0","47","5","5","9","6","8","3",".212","sa328010"
"Luis Oliveros","- - -","23","88","306","327","65","53","11","0","1","20","22","6","0","37","6","1","8","6","1","2",".212","sa199167"
"Jason Motte","- - -","24","10","33","37","7","7","0","0","0","0","4","2","0","11","0","0","2","0","0","0",".212","5861"
"Wilton Infante","Astros (R)","18","60","198","234","42","37","4","0","1","31","10","27","0","55","5","0","4","1","16","6",".212","sa455711"
"Rufino Candelario","Mexican (AAA)","20","32","33","38","7","6","1","0","0","11","2","5","0","6","0","0","0","1","0","1",".212","sa509120"
"Wesley Stone","- - -","19","53","184","226","39","32","7","0","0","33","16","37","1","46","0","3","2","11","2","2",".212","sa290224"
"Hector Borg","- - -","21","37","118","129","25","20","3","2","0","11","15","6","0","16","2","1","2","4","6","6",".212","sa293690"
"Joshua Roberts","- - -","19","50","170","188","36","27","6","1","2","12","24","14","2","37","1","1","2","4","5","2",".212","sa262084"
"Shawn Scobee","Blue Jays (A-)","21","56","170","202","36","20","10","2","4","23","25","16","0","68","14","0","2","2","3","1",".212","sa327796"
"Sean VanElderen","Giants (R)","23","29","85","99","18","13","4","1","0","12","10","8","0","29","3","2","1","4","4","1",".212","sa328293"
"Chris Johnson","Astros (A-)","21","60","222","239","47","38","7","1","1","18","29","11","1","35","2","4","0","13","7","3",".212","1191"
