"Name","Team","Age","PA","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Rudney Balentien","Phillies (R)","18","244",".275","0.57","14.2 %","31.1 %","54.7 %","22.2 %","1.2 %","42.1 %","32.1 %","25.8 %","27.7 %","127","313","440","sa504861"
"Miguel Flores","Mexican (AAA)","37","335",".338","1.65","18.4 %","50.8 %","30.8 %","24.4 %","1.2 %","57.5 %","18.2 %","24.4 %","3.3 %","533","786","1319","sa3001113"
"Miguel Salazar","Cubs (R)","19","276",".280","1.29","11.3 %","50.0 %","38.7 %","11.0 %","1.2 %","40.6 %","36.2 %","23.2 %","15.6 %","125","297","422","sa3001808"
"Joaquin Rodriguez","Mets (A)","23","294",".292","1.13","17.1 %","44.1 %","38.9 %","17.1 %","1.2 %","49.8 %","18.7 %","31.5 %","27.8 %","67","394","461","sa329434"
"Wilfredo Gimenez","Marlins (R)","17","236",".278","1.06","12.0 %","45.3 %","42.7 %","22.0 %","1.2 %","41.2 %","28.6 %","30.2 %","10.4 %","97","241","338","sa504051"
"Ali Castillo","Yankees (R)","19","279",".318","1.27","11.0 %","49.8 %","39.2 %","19.5 %","1.2 %","40.5 %","28.6 %","30.9 %","15.6 %","132","297","429","sa507143"
"Pedro Aguilar","Phillies (R)","19","229",".243","0.76","12.6 %","37.7 %","49.7 %","34.9 %","1.2 %","42.2 %","26.6 %","31.2 %","17.1 %","100","245","345","sa3001640"
"Henry Alejandro Rodriguez","- - -","18","265",".343","0.96","17.9 %","40.3 %","41.8 %","23.8 %","1.2 %","38.3 %","27.3 %","34.5 %","15.8 %","120","280","400","7983"
"Roberto Mena","- - -","23","325",".253","1.43","13.2 %","51.1 %","35.7 %","23.8 %","1.2 %","57.1 %","22.3 %","20.7 %","28.4 %","67","436","503","sa389819"
"Jesus Brito","Indians (R)","20","285",".270","1.02","11.5 %","44.8 %","43.8 %","26.2 %","1.2 %","43.3 %","37.5 %","19.2 %","14.4 %","198","310","508","sa502605"
