"Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Ezequiel Selen","Orioles (R)","21","2","2","6.10","16","0","0","0","2","1","0","31.0","146","31","25","21","2","20","0","6","9","1","27","sa331351"
"Scott Maine","Diamondbacks (A-)","22","1","0","6.10","8","0","0","0","1","0","0","10.1","52","6","9","7","0","12","0","1","3","0","20","885"
"Craig Deaver","Mariners (A-)","22","0","0","6.10","11","0","0","0","0","0","1","10.1","52","12","8","7","0","8","0","2","3","0","10","sa394067"
"Mike Ramlow","Brewers (A)","21","5","5","6.11","27","20","0","0","1","1","2","104.2","470","130","77","71","16","35","1","2","9","0","80","sa326250"
"Alvin Rodriguez","White Sox (R)","19","0","0","6.11","13","1","0","0","1","1","1","28.0","145","25","25","19","1","33","1","6","11","1","23","sa3000603"
"Scott Sumner","Indians (A)","23","1","0","6.11","17","0","0","0","1","0","5","28.0","143","38","20","19","2","21","1","3","6","0","33","sa326122"
"Austin Creps","Indians (A)","22","1","3","6.11","25","0","0","0","1","3","1","45.2","224","70","40","31","5","11","2","6","1","0","33","sa326801"
"Eric DuBose","- - -","31","5","8","6.12","22","17","0","0","0","0","1","100.0","458","124","72","68","12","46","4","4","6","2","78","1633"
"T.J. Nall","- - -","26","4","16","6.13","29","27","0","0","0","0","0","149.2","688","188","118","102","26","61","2","3","6","2","98","sa198576"
"Edwin Grullion","Cardinals (R)","19","2","2","6.14","12","6","0","0","0","1","0","36.2","186","39","32","25","0","27","0","9","8","0","35","sa3000597"
"Matt Handley","- - -","24","2","2","6.14","45","0","0","0","0","2","2","51.1","249","44","42","35","6","46","1","7","6","0","44","sa329646"
"Craig James","Mariners (AA)","24","5","4","6.14","44","0","0","0","10","6","3","58.2","278","71","41","40","5","26","3","7","2","2","46","sa226364"
"Ismael Casillas","Red Sox (A+)","24","4","4","6.14","35","0","0","0","3","4","1","66.0","290","65","48","45","10","34","0","0","5","1","61","sa291774"
"Wilbin Garcia","Pirates (R)","18","0","1","6.14","11","0","0","0","2","1","1","22.0","111","20","19","15","1","18","0","5","8","0","15","sa3000734"
